charger_voltage,charger_current,total_v,max_v,min_v,avg_v,max_temp,min_temp,avg_temp,max_min_balance
443.600006,3.900000,442.566315,3.955650,3.945600,3.951485,19.365870,16.537928,18.058113,0.010050
,,442.566925,3.955200,3.945600,3.951490,19.365870,16.542963,18.058504,0.009600
443.600006,3.900000,442.576843,3.955350,3.945600,3.951579,19.365870,16.542963,18.059526,0.009750
,,442.590149,3.955800,3.946350,3.951698,19.365870,16.542963,18.059999,0.009450
443.600006,3.900000,442.600067,3.956100,3.946350,3.951786,19.370905,16.542963,18.060314,0.009750
,,442.594299,3.956400,3.945750,3.951735,19.365870,16.542963,18.061413,0.010650
443.700012,3.900000,442.591034,3.956250,3.945750,3.951706,19.370905,16.542963,18.061493,0.010500
,,442.581787,3.955350,3.945900,3.951623,19.370905,16.542963,18.062122,0.009450
443.700012,3.900000,442.588409,3.955350,3.945900,3.951682,19.365870,16.542963,18.062670,0.009450
,,442.604858,3.955650,3.946050,3.951829,19.370905,16.542963,18.063143,0.009600
443.700012,3.900000,442.610840,3.955800,3.946200,3.951883,19.370905,16.542963,18.064241,0.009600
,,442.622162,3.956400,3.946650,3.951984,19.370905,16.542963,18.064556,0.009750
443.700012,3.900000,442.620209,3.956550,3.945900,3.951966,19.370905,16.547998,18.064869,0.010650
,,442.616394,3.956100,3.945900,3.951932,19.375940,16.547998,18.065340,0.010200
443.700012,3.900000,442.609589,3.955950,3.946050,3.951871,19.375940,16.547998,18.065969,0.009900
,,442.612549,3.955800,3.946050,3.951898,19.375940,16.547998,18.066996,0.009750
443.700012,3.900000,442.622223,3.955800,3.946200,3.951984,19.375940,16.547998,18.066914,0.009600
,,442.636475,3.956100,3.946500,3.952111,19.375940,16.547998,18.068172,0.009600
443.700012,3.900000,442.647034,3.956400,3.946650,3.952206,19.375940,16.553003,18.068565,0.009750
443.700012,3.900000,442.656097,3.956700,3.946800,3.952286,19.375940,16.553003,18.069902,0.009900
