"Time (s)","X (m/s^2)","Y (m/s^2)","Z (m/s^2)"
1.678763271E1,3.036970720E-1,-5.352440709E-3,-2.451930481E-1
1.683748071E1,5.310086768E-2,3.426683988E-2,1.384035945E-2
1.688732771E1,-1.380460373E-1,-4.552530644E-2,-1.129512495E-1
1.693717571E1,-1.200631448E-1,8.999709081E-2,2.701729381E-1
1.698702371E1,2.074202543E-1,-4.914450453E-2,-1.447963554E-1
1.703687071E1,1.007152198E-1,-2.424061007E-2,-3.558983821E-1
1.708671871E1,-2.482038525E-1,1.427705235E-1,3.106257302E-1
1.713656671E1,-2.241484804E-1,-1.073693878E-1,1.977154112E-1
1.718641383E1,2.873054992E-2,3.396566260E-2,2.793466347E-1
1.723626183E1,-8.535189824E-2,-8.511737008E-3,2.955884457E-1
1.728610983E1,-1.067133302E-1,1.237566208E-1,4.787092066E-1
1.733595683E1,4.949721040E-2,-5.963138530E-2,-2.350224012E-1
1.738580483E1,-1.553298220E-1,-2.380406974E-2,-1.837201005E-1
1.743565283E1,2.270810418E-1,3.246606192E-2,-8.302625227E-1
1.748549983E1,-1.078851487E-2,2.324311162E-2,-1.001739138E-1
1.753534783E1,-2.437965686E-1,-4.327581863E-2,8.718391496E-1
1.758519583E1,1.066669727E-1,4.332083305E-2,-3.849695688E-1
1.763504283E1,-2.725944528E-2,6.588288110E-2,1.911326158E-1
1.768489083E1,2.989931697E-1,-4.118218652E-2,-1.419467148E0
1.773473883E1,-2.496465799E-1,-6.102823030E-2,7.404960680E-1
1.778458583E1,-1.761481024E-2,6.591525092E-2,-2.974291492E-1
1.783443383E1,1.136949057E-1,-5.098352694E-2,-1.921979785E-2
1.788428183E1,-5.811337503E-2,4.248763223E-2,-4.395761311E-2
1.793412883E1,-4.193495158E-2,5.435014358E-3,-1.748317480E-2
1.798397683E1,-8.622669652E-3,2.747992186E-2,1.555622488E-1
1.803382383E1,-1.751178961E-2,-1.341775194E-2,-1.984650242E-1
1.808367183E1,3.852401488E-3,4.158864110E-2,9.563179672E-2
1.813351983E1,7.772798784E-2,-8.571378607E-4,-2.121217811E-1
1.818336658E1,-5.281910498E-2,4.249573611E-3,1.222793126E-1
1.823321458E1,-1.375966787E-2,2.550211944E-2,-7.486482561E-2
1.828306158E1,1.965673104E-2,2.475837188E-2,-1.707094610E-2
1.833290958E1,-2.347289806E-2,1.858218639E-2,2.826602519E-2
1.838275758E1,2.018648878E-2,-2.601456393E-2,-9.177146494E-2
1.843260458E1,6.914911383E-1,-2.882371251E-2,-2.221876459E0
1.848245258E1,-4.383899138E-1,7.275452893E-3,1.408691314E0
1.853229958E1,2.093806064E-1,5.538843549E-2,-7.452755821E-1
1.858214758E1,-4.832023898E-2,-1.273471492E-2,-1.590442657E-4
1.863199558E1,8.219429215E-2,5.618767678E-2,-1.445016557E-1
1.868184258E1,2.372617386E-3,-3.535447681E-2,-2.784122497E-1
1.873169058E1,-4.188305754E-2,3.794733323E-2,4.244084537E-2
